MatchID,TournamentID,MatchName,Stage,MatchDate,MatchTime,StadiumID,HomeTeamID,AwayTeamID,HomeTeamScore,AwayTeamScore,ExtraTime,PenaltyShootout,HomePenalty,AwayPenalty,Result
M-1930-01,WC-1930,France v Mexico,group stage,7/13/1930,15:00:00,S-193,T-28,T-44,4,1,0,0,?,0,home team win
M-1930-02,WC-1930,United States v Belgium,group stage,7/13/1930,15:00:00,S-192,T-80,T-06,3,0,0,0,0,0,home team win
M-1930-03,WC-1930,Yugoslavia v Brazil,group stage,7/14/1930,12:45:00,S-192,T-84,T-09,2,1,0,0,0,0,home team win
M-1930-04,WC-1930,Romania v Peru,group stage,7/14/1930,14:50:00,S-193,T-59,T-54,3,1,0,0,0,?,home team win
M-1930-05,WC-1930,Argentina v France,group stage,7/15/1930,16:00:00,S-192,T-03,T-28,1,0,0,0,0,0,home team win
M-1930-06,WC-1930,Chile v Mexico,group stage,7/16/1930,14:45:00,S-192,T-13,T-44,3,0,0,0,0,0,home team win
M-1930-07,WC-1930,Yugoslavia v Bolivia,group stage,7/17/1930,12:45:00,S-192,T-84,T-07,4,0,0,0,0,0,home team win
M-1930-08,WC-1930,United States v Paraguay,group stage,7/17/1930,14:45:00,S-192,T-80,T-53,3,0,0,0,0,0,home team win
M-1930-09,WC-1930,Uruguay v Peru,group stage,7/18/1930,14:30:00,S-191,T-81,T-54,1,0,0,0,0,0,home team win
M-1930-10,WC-1930,Chile v France,group stage,7/19/1930,12:50:00,S-191,T-13,T-28,1,0,0,0,0,0,home team win
M-1930-11,WC-1930,Argentina v Mexico,group stage,7/19/1930,15:00:00,S-191,T-03,T-44,6,3,0,0,0,0,home team win
M-1930-12,WC-1930,Brazil v Bolivia,group stage,7/20/1930,13:00:00,S-191,T-09,T-07,4,0,0,0,0,0,home team win
M-1930-13,WC-1930,Paraguay v Belgium,group stage,7/20/1930,15:00:00,S-191,T-53,T-06,1,0,0,0,?,0,home team win
M-1930-14,WC-1930,Uruguay v Romania,group stage,7/21/1930,14:50:00,S-191,T-81,T-59,4,0,0,0,0,0,home team win
M-1930-15,WC-1930,Argentina v Chile,group stage,7/22/1930,14:45:00,S-191,T-03,T-13,3,1,0,0,0,0,home team win
